USGS_id,Com_id,Link_id,lat,lon
       10340500,-9999,8933736,39.369881,-120.125076
       10164500,-9999,10329013,40.447319,-111.683311
       10242000,-9999,14597053,37.671021,-113.040642
       10234500,-9999,1215135,38.280396,-112.567101
       10146400,-9999,10331001,39.803844,-111.867371
       10172727,-9999,10396113,40.160492,-112.431633
       10011500,-9999,7887898,40.972122,-110.858826
       10310000,-9999,8924041,38.769104,-119.836288
       10137500,-9999,10274270,41.268505,-111.673073
       10349849,-9999,8935004,39.463989,-119.727524
       10132500,-9999,10089426,41.180878,-111.400368
       10149400,-9999,10349220,40.076527,-111.377678
       10290500,-9999,8915935,38.182171,-119.320374
       10128500,-9999,10093110,40.737103,-111.245171
       10133980,-9999,10276712,40.873192,-111.583809
       10154200,-9999,10373692,40.558720,-111.181389
       10336610,-9999,8944439,38.922688,-119.991455
       10153100,-9999,10348934,40.165501,-111.607758
       10174500,-9999,10817986,37.651154,-112.426849
       10324700,-9999,11205600,40.950680,-116.445473
       10105900,-9999,666170,41.592945,-111.855812
       10349980,-9999,8932212,39.510250,-119.712448
       10194200,-9999,3504347,38.580349,-112.279114
       10317480,-9999,10762537,41.332874,-115.573875
       10032000,-9999,7899797,42.294117,-110.872658
       10131000,-9999,10093066,40.918530,-111.379257
       10155000,-9999,10373622,40.600765,-111.327881
       10134500,-9999,10277268,40.926224,-111.614876
       10113500,-9999,666156,41.623386,-111.735519
       10140100,-9999,10275828,41.254120,-111.856529
       10296000,-9999,10744424,38.381573,-119.449699
       10293000,-9999,8915857,38.332527,-119.212334
       10155200,-9999,10373794,40.541672,-111.439629
       10140700,-9999,10274376,41.236568,-111.959679
       10352500,-9999,11849049,41.966709,-117.831657
       10129300,-9999,10093088,40.743172,-111.363678
       10329500,-9999,11137442,41.535461,-117.416679
       10155500,-9999,10375648,40.488941,-111.456009
       10150500,-9999,10349360,40.047287,-111.549141
       10157500,-9999,10375690,40.461464,-111.467224
       10322800,-9999,11227656,40.379379,-116.126884
       10109000,-9999,664424,41.741581,-111.769905
      103530001,-9999,11849007,41.973957,-117.596825
       10129500,-9999,10093214,40.805908,-111.402710
       10016900,-9999,7884940,41.270325,-110.963020
       10293050,-9999,8914771,38.440495,-119.107208
       10308200,-9999,8922715,38.711861,-119.767387
       10319900,-9999,10750253,40.631084,-115.732681
       10130500,-9999,10092262,40.882870,-111.394951
       10315500,-9999,10779090,41.251556,-115.257805
       10337500,-9999,8934074,39.166622,-120.143692
       10321590,-9999,10783380,40.738800,-116.077164
       10320000,-9999,10750117,40.684090,-115.827034
       10132000,-9999,10093052,40.966679,-111.436531
       10296500,-9999,946050152,38.513760,-119.450844
       10344400,-9999,8933494,39.436855,-120.085281
       10163000,-9999,10376596,40.256008,-111.664825
       10309000,-9999,8922339,38.845436,-119.703148
       10309010,-9999,8924007,38.876507,-119.689568
       10317500,-9999,10764661,41.193356,-115.493004
       10344500,-9999,8933684,39.387558,-120.094772
       10338000,-9999,8933958,39.293182,-120.206451
       10297500,-9999,10742328,38.722885,-119.442970
       10321940,-9999,10782344,40.817360,-116.220482
       10020300,-9999,7879744,41.507977,-111.009460
       10321950,-9999,10782370,40.805023,-116.202904
       10329000,-9999,11138998,41.422535,-117.390472
       10300000,-9999,10743426,38.811497,-119.248169
       10344505,-9999,8933706,39.385128,-120.083710
       10322000,-9999,10782656,40.726608,-116.094955
       10293500,-9999,946050110,38.811989,-119.048103
       10189000,-9999,10805283,38.194489,-112.145058
       10324500,-9999,11192063,40.829681,-116.587677
       10300600,-9999,946050091,38.940994,-119.187149
       10183500,-9999,10815868,38.217026,-112.206123
       10346000,-9999,8933532,39.428398,-120.033318
       10301120,-9999,10736861,39.083481,-119.125984
       10301500,-9999,10736789,39.160973,-119.065369
       10136500,-9999,10274616,41.137909,-111.833290
       10311000,-9999,8920583,39.109631,-119.711098
       10136600,-9999,10275900,41.137280,-111.931419
       10171000,-9999,10390290,40.790401,-111.936249
       10028500,-9999,7902389,41.938812,-110.978439
       10137000,-9999,10274468,41.216846,-111.989578
       10301600,-9999,10737665,39.091339,-118.917198
       10311400,-9999,11432263,39.180336,-119.689720
       10301720,-9999,10737511,39.026165,-118.862732
       10301745,-9999,10737517,39.013287,-118.861565
       10347460,-9999,8932132,39.507156,-119.932312
       10141000,-9999,10273232,41.255917,-112.112968
       10311750,-9999,946050159,39.263874,-119.560974
       10038000,-9999,7900637,42.130493,-110.973335
       10312000,-9999,11432099,39.289059,-119.306480
410401112134801,-9999,7913954,41.097702,-112.331696
       10348000,-9999,8932012,39.529953,-119.796349
       10348036,-9999,8932056,39.524273,-119.776321
       10348200,-9999,8932654,39.515224,-119.738403
       10302025,-9999,946050251,38.772888,-118.727516
       10350000,-9999,8932092,39.519299,-119.698265
       10318500,-9999,10784576,40.944012,-115.615173
       10312150,-9999,13070812,39.464569,-119.035591
       10039500,-9999,7898927,42.208435,-111.059891
       10350340,-9999,8931902,39.553909,-119.555878
       10351600,-9999,8931712,39.585899,-119.440712
       10312275,-9999,13069694,39.569942,-118.728905
       10351650,-9999,11313919,39.632175,-119.282715
