to_usgs, from_usgs
05487520, "{05485500,05485640,05486000,05487470,05486490}"
06774000, "{06770500,06772100,06772775,06773500,06772898}"
02339500, "{02338500,02338660,02338840,02338523,02339495}"
12194000, "{12182500,12181000,12193400,12189500}"
01054500, "{01054300,01054200,01054000,01054114}"
09448500, "{09442000,09447000,09447800,09444500}"
11370500, "{11355010,11361000,11355500,11342000}"
02035000, "{02029000,02030000,02030500,02034000}"
01473500, "{01472000,01473000,01473169,01472157}"
01417000, "{01413500,01415000,01414500,01414000}"
04082400, "{04073500,04079000,04081000,04080000}"
03316500, "{03310300,03308500,03310400,03314500}"
10259100, "{10257549,10257600,10257720,10259050}"
03336000, "{03335500,033356848}"
09498500, "{09497500,09497800,09497980,09498400}"
11046000, "{11044300,11044350,11044800,11045600}"
10344505, "{10344500,10340500,10338700,10338000}"
01059000, "{01055000,01054500,01057000,01055500}"
01081500, "{01076500,01077400,01078000,01081000}"
09058000, "{09041400,09034250,09038500,09057500}"
09067020, "{09066510,09067000,09064600,09065100}"
12447200, "{12445900,12445000,12446995,12445500}"
13307000, "{13302500,13306370,13306385,13305310}"
03185400, "{03176500,03179000,03185000,03184000}"
07124000, "{07109500,07121500,07119500,07116500}"
05331000, "{05288500,05288705,05289800,05330920}"
02215000, "{02213000,02213500,02214075,02214590}"
13018750, "{13013650,13015000,13018350,13016450}"
11303500, "{11303000,11290000,11274550,11274630}"
13269000, "{13213100,13233300,13251000,13266000}"
09502000, "{09498500,09499000,09498503,09498502}"
10126000, "{10109000,10113500,10105900,10092700}"
05582000, "{05580000,05580950,05578500,05579500}"
13340000, "{13336500,13337000,13338500,13339500}"
07182260, "{07182250,07182200,07180400,07180500}"
06910450, "{06909000,06909500,06910230,06909950}"
11389500, "{11377100,11381500,11383500,11379500}"
04192500, "{04191500,04185318,04185440,04183500}"
06933500, "{06928420,06928000,06930060,06932000}"
07165570, "{07164500,07164600,07165565,07165562}"
02232000, "{02231600,02231396,02231342}"
09314500, "{09312600,09310700,09310500}"
01362500, "{01362200,01362370,0136230002,01362497}"
01046500, "{01042500,01044550,01043500,01046000}"
06894000, "{06893970,06893820,06893890}"
13302500, "{13297355,13297330,13296500,13302005}"
05463050, "{05458900,05462000,05458500,05463000}"
01138500, "{01135500,01139000,01131500,01137500}"
05454500, "{05453520,05454300,05454090,05454000}"
06185500, "{06177000,06185110,06181000,06177500}"
02168504, "{02167000,02167450,02167582,02167705}"
03250500, "{03250190,03250322,03250100,03248300}"
07249455, "{07194500,07245000,07198000,07249413}"
14140000, "{14139800,14138850,14138900,14138870}"
02479310, "{02479130,02479155,02479300,02479000}"
10257549, "{10255890,10255897,10257500,10256500}"
02391860, "{02390050,02391540,02390140}"
03353611, "{03352953,03353460,03353600,03353120}"
02145000, "{02143000,02143040,02143500,02144000}"
03335500, "{03329000,03333050,03335000,03329700}"
01610000, "{01608500,01609000,01603000,01604500}"
09400350, "{09397300,09397500,09399400}"
05428500, "{05427850,05427910,05427930,05427943}"
08159000, "{08158827,08158970,08158860,08158813}"
06891000, "{06890900,06889000,06889500,06889630}"
14201340, "{14200300,14200700,14201300}"
01144500, "{01138500,01139800,01144000}"
01453000, "{01451000,01452000,01451650,01452500}"
08188060, "{08183500,08186500,08187500,08186000}"
06177000, "{06115200,06174500,06131200,06130500}"
12508990, "{12500450,12502500,12506000,12505450}"
02336490, "{02336000,02336300,02336410,02336313}"
08049300, "{08048000,08048543,08048970,08048800}"
11447890, "{11447650,11447830}"
02223000, "{02218300,02219000,02220900,02221525}"
05593000, "{05592500,05592575,05592800,05592900}"
