USGS_id,Link_id,lat,lon,area,OBJECTID
"07346080","1018031",32.737156,-94.232384,2074,"6"
"07074670","11798549",35.727203,-91.201073,8.59,"6"
"07052120","7607233",37.154518,-93.364288,10.5,"6"
"07342480","4300953",33.26738,-95.940125,44.1,"6"
"07052100","7607235",37.167706,-93.370827,31.4,"6"
"07069190","7561625",36.494781,-91.535881,-999,"6"
"07052152","7607249",37.147522,-93.372757,51,"6"
"07050690","7607143",37.179806,-93.198341,21,"6"
"07351500","8342461",32.298321,-93.831108,66,"6"
"07075250","11777377",35.544338,-92.7118,47.6,"6"
"07342465","4300845",33.211559,-95.90419,150,"6"
"07061270","7665728",37.55217,-90.842232,52.2,"6"
"07050152","8585070",36.577587,-93.831779,35.7,"6"
"07053250","8586574",36.454998,-93.355957,52.8,"6"
"07352000","19913448",32.253544,-92.976044,154,"6"
"07343356","1129421",33.497425,-95.040565,191,"6"
"07064440","7516577",37.45565,-91.677528,58.8,"6"
"07055646","11819355",35.944195,-93.404373,57.4,"6"
"07060710","11834118",35.993324,-92.210968,58.1,"6"
"07055875","11818809",35.79866,-92.924805,67.4,"6"
"07075270","11777215",35.567894,-92.622993,74.7,"6"
"07048800","8590392",36.09499,-94.010651,138,"6"
"07061290","7666946",37.493519,-90.840431,87.3,"6"
"07056515","11817935",35.93541,-92.71711,83.1,"6"
"07344493","1009020",33.073093,-94.962898,278,"6"
"07346045","1017865",32.792336,-94.381355,365,"6"
"07342500","4300941",33.357906,-95.588219,527,"6"
"07055660","11816879",36.021595,-93.35453,116,"6"
"07344500","1009042",33.025322,-94.890686,370,"6"
"07344100","1128207",33.384888,-94.497215,89.9,"6"
"07065200","7519951",37.056644,-91.662544,185,"6"
"07343500","1122795",33.322472,-95.081177,494,"6"
"07061900","7667812",37.245983,-90.964249,139,"6"
"07048550","8590430",36.057217,-94.077705,123,"6"
"07064533","7517071",37.375103,-91.553154,295,"6"
"07054080","7622144",36.775196,-92.913544,298,"6"
"07346050","1042497",32.677696,-94.758438,383,"6"
"07068510","7522469",36.620468,-90.580856,194,"6"
"07055607","7628072",36.2346,-92.724617,398,"6"
"07351750","8343927",31.893909,-93.330444,860,"6"
"07069295","7560625",36.348301,-91.648834,265,"6"
"07053810","7625104",36.711346,-93.202522,191,"6"
"07343840","1121321",33.274647,-94.798828,748,"6"
"07343000","4300911",33.473701,-95.582146,276,"6"
"07346000","1017893",32.737713,-94.487839,850,"6"
"07069220","7559729",36.461246,-91.526115,280,"6"
"07049000","8588002",36.202003,-93.848846,263,"6"
"07055680","11816741",36.056377,-93.145607,190,"6"
"07052820","7610871",36.75256,-93.616516,274,"6"
"07076530","11779929",35.362675,-91.800659,72.6,"6"
"07075300","11777113",35.578712,-92.458595,148,"6"
"07346070","1042491",32.700726,-94.366524,675,"6"
