"cnt","to_usgs","to_comid","from_comid","from_usgs"
14,"02146000",9736188,"{9737002,9747440,9752476,9752982,9753760,9753828,9754776,9755408,9755416,9755438,9755462,9755476,9756570,9756782}","{021459367,02145000,02140991,02138520,02142000,02138500,02137727,0214266000,0214266080,0214291555,0214297160,0214295600,0214269560,021457492}"
12,"14105700",947070191,"{947020558,947030106,24228251,23448951,23459517,23605912,23637700,23647724,23659568,23685496,23718705,24227935}","{12472800,12510500,13334300,13344500,13351000,13342500,14018500,14033500,14034608,14048000,14103000,13335050}"
12,"07057370",11830560,"{7609749,7610871,7622144,7625104,7628072,8585070,8586574,8586784,8588002,8590392,8590894,11816353}","{07052500,07052820,07054080,07053810,07055607,07050152,07053250,07050500,07049000,07048800,07048600,07056700}"
11,"01116500",6129655,"{6128495,6128513,6128559,6128591,6128659,6128661,6128763,6128769,6128797,6129689,6129613}","{01115098,01115110,01115170,01115114,01115190,01115187,01115280,01115265,01115276,01116000,01115183}"
11,"02428400",18239649,"{22273668,21719268,21457950,21458394,21662336,21676818,21680904,21682252,22271288,22274612,22274808}","{02407000,02419890,02427250,02427830,02425000,02422500,02420490,02421000,02407514,02408540,02408150}"
11,"06342500",14523623,"{3012079,21871785,14469195,14519511,14523345,14586327,16248681,21533074,21538554,21539242,21539336}","{06185500,06329500,06337000,06342260,06342450,06331000,06340590,06332000,06332523,06332515,06332770}"
11,"02407000",22273668,"{15823427,15822925,15822929,15823141,22200595,22201495,22203349,22204871,22206103,22206629,22271988}","{02397530,02398300,02399200,02400100,02401000,02401895,02401390,02404400,02405500,02406500,02406930}"
11,"03114306",15429794,"{3821223,3819547,3820543,3820883,3822659,19464254,19451765,19452479,19452609,19453023,19454103}","{03086000,03109500,03110000,03108000,03110830,03107500,03111200,03111548,03112000,03111500,03113990}"
11,"021964832",22720787,"{6269342,6269248,6280111,6289757,11730030,11735427,11736643,11737579,11749433,11749667,22720339}","{02177000,02181580,02192000,02193500,02196000,02187910,02188600,02192500,02186702,02186000,02195320}"
11,"11074000",22563116,"{22560716,22557922,22555342,22555344,22555756,22555860,22556372,22557854,24843752,22558244,22563070}","{11072100,11060400,11058500,11058600,11055800,11055500,11073360,11058000,11059300,11051502,11073495}"
10,"01618000",5894792,"{5891232,5891846,5893280,5892862,5892920,5893170,5893338,5894272,5894280,5894384}","{01614500,01617800,01613095,01613525,01613030,01614000,01613000,01618100,01617000,01616500}"
10,"02465000",18229923,"{18229157,18227431,18227533,18228341,18229143,18566317,18566081,18566179,18592074,18591758}","{02462000,02464360,02464146,02464660,02464000,02456500,02457595,02458600,02453500,02454055}"
9,"03431500",18408692,"{3577682,10181647,10183161,10183165,18401497,18407884,18408240,18408484,18421703}","{03414100,03416000,03414500,03415000,03430200,03426470,03431060,03431300,03424860}"
9,"10171000",10390290,"{10327201,10329013,10331001,10348934,10349360,10351594,10376596,10388500,10389562}","{10166430,10164500,10146400,10153100,10150500,10147100,10163000,10167170,10168000}"
9,"09514100",20427008,"{21269350,15882758,20413978,20415812,20416132,20440142,20476698,20478096,20481266}","{09479350,09489000,09512800,09513780,09513860,09511300,09512280,09502000,09512162}"
9,"08158000",5781917,"{5756726,5757354,5771725,5781189,5781703,5781893,5781313,5781709,5786075}","{08147000,08152000,08151500,08154700,08156800,08155500,08156910,08155541,08153500}"
9,"01446500",2588381,"{4151628,2586771,2586809,2587723,2588225,4150904,4151302,4154488,4153168}","{01438500,01443500,01445500,01443900,01446000,01439590,01440000,01442500,01439500}"
9,"01646500",4512772,"{4507348,4506374,4506028,4507266,4506736,4508904,4509202,8450266,8450600}","{01638500,01645000,01643590,01644000,01644280,01646305,01646000,01643000,01643500}"
8,"07315500",3134443,"{13971012,575970,576014,674726,13732288,13660341,13660367,13660637}","{07308500,07311240,07311500,07311000,07312700,07314900,07315200,07314500}"
8,"06926000",5987533,"{2328561,2335475,2984150,2986242,7371355,7388803,7398311,7398873}","{06921720,06921600,06918250,06920520,06919900,06921350,06923950,06925250}"
8,"10337500",8934074,"{8941685,8941693,8941733,8942501,8942877,8942879,8944439,8944453}","{10336676,10336660,10336645,10336730,10336698,10336700,10336610,10336780}"
8,"08053000",1278624,"{1274838,1275870,1275872,1276822,1276892,1277178,1278534,1278616}","{08050400,08050800,08050840,08051135,08051500,08052780,08052700,08052745}"
8,"01347000",22741627,"{22741581,22742959,22743091,22743145,22743357,22743475,22743619,22744699}","{01346000,01338000,01339060,01342602,01342682,01342730,01336000,01342743}"
8,"05507800",4867791,"{4868933,5039176,5039952,5040010,5041944,5640210,5640404,5641176}","{05507600,05506350,05506100,05504800,05506800,05503800,05503100,05502500}"
8,"06214500",4342992,"{4366016,4064058,4263450,4264796,4265440,4268026,4366570,7184606}","{06192500,06195600,06211500,06209500,06211000,06208500,06200000,06205000}"
7,"01092000",6745688,"{6741776,6741448,6740400,6741094,6761086,6762034,6761776}","{01081500,01089925,01089100,01091500,01087000,01085500,01086000}"
